,filenames,binids
322,tc0139§0031,3
323,tc0187§0047,4
324,tc0147§0003,0
325,tc0147§0022,2
326,tc0168§0024,2
327,tc0132§0035,4
328,tc0147§0033,3
329,tc0146§0018,1
330,tc0191§0001,0
331,tc0174§0002,0
332,tc0180§0032,3
333,tc0188§0017,1
334,tc0188§0037,3
335,tc0189§0018,1
336,tc0191§0007,0
337,tc0164§0041,4
338,tc0131§0005,0
339,tc0162§0023,2
340,tc0178§0001,0
341,tc0191§0015,1
342,tc0158§0026,3
343,tc0155§0024,2
344,tc0146§0021,2
345,tc0139§0036,4
346,tc0174§0014,1
347,tc0160§0040,3
348,tc0146§0026,2
349,tc0134§0009,1
350,tc0174§0020,2
351,tc0136§0008,0
352,tc0136§0014,1
353,tc0136§0013,1
354,tc0130§0014,1
355,tc0148§0008,0
356,tc0134§0039,4
357,tc0131§0010,1
358,tc0188§0039,4
359,tc0153§0032,3
360,tc0155§0031,3
361,tc0130§0010,1
362,tc0154§0027,3
363,tc0139§0023,2
364,tc0132§0024,2
365,tc0158§0040,4
366,tc0162§0003,0
367,tc0130§0001,0
368,tc0160§0020,1
369,tc0176§0033,3
370,tc0167§0041,4
371,tc0155§0017,1
372,tc0146§0042,4
373,tc0179§0014,1
374,tc0154§0007,0
375,tc0148§0024,2
376,tc0164§0021,2
377,tc0176§0012,1
378,tc0136§0012,1
379,tc0179§0018,2
380,tc0188§0030,3
381,tc0155§0036,4
382,tc0174§0031,3
383,tc0189§0016,1
384,tc0134§0025,3
385,tc0136§0037,4
386,tc0164§0036,3
387,tc0180§0007,0
388,tc0176§0042,4
389,tc0154§0003,0
390,tc0188§0047,4
391,tc0130§0035,3
392,tc0178§0018,1
393,tc0154§0025,2
394,tc0179§0034,3
395,tc0139§0041,4
396,tc0162§0043,4
397,tc0152§0020,2
398,tc0154§0014,1
399,tc0191§0042,4
400,tc0180§0038,4
401,tc0132§0008,0
402,tc0148§0033,3
403,tc0139§0040,4
404,tc0188§0008,0
405,tc0154§0020,2
406,tc0191§0031,3
407,tc0147§0016,1
408,tc0187§0045,4
409,tc0179§0006,0
